,,,,,,,
,,,,,,,
,,,,,,,
CVE_ENT,Entidad federativa,Gran sector y tamaño del establecimiento,Población inicial1,Nacimientos2,Muertes2,Población actual2,
15,Estado de México,PyME´s, 14 304,  331, 2 647, 11 988,
15,Estado de México,Manufacturas, 69 265, 6 997, 12 326, 63 936,
15,Estado de México,Micro, 65 783, 6 997, 11 949, 60 831,
15,Estado de México,PyME´s, 3 482,  0,  377, 3 104,
15,Estado de México,Comercio, 330 230, 48 297, 65 886, 312 641,
15,Estado de México,Micro, 324 889, 48 200, 64 422, 308 666,
15,Estado de México,PyME´s, 5 342,  97, 1 464, 3 974,
15,Estado de México,Servicios Privados no Financieros, 195 360, 28 171, 48 295, 175 235,
15,Estado de México,Micro, 189 879, 27 936, 47 489, 170 327,
15,Estado de México,PyME´s, 5 480,  234,  806, 4 909,
16,Michoacán,Total, 253 588, 31 312, 43 356, 241 544,
16,Michoacán,Micro, 246 386, 31 058, 41 919, 235 526,
16,Michoacán,PyME´s, 7 201,  254, 1 437, 6 018,
16,Michoacán,Manufacturas, 46 798, 3 649, 5 829, 44 618,
16,Michoacán,Micro, 45 597, 3 572, 5 515, 43 654,
16,Michoacán,PyME´s, 1 200,  77,  314,  963,
16,Michoacán,Comercio, 112 314, 15 049, 16 771, 110 592,
16,Michoacán,Micro, 109 778, 15 047, 16 423, 108 402,
16,Michoacán,PyME´s, 2 536,  2,  348, 2 190,
16,Michoacán,Servicios Privados no Financieros, 94 476, 12 614, 20 756, 86 335,
16,Michoacán,Micro, 91 011, 12 439, 19 981, 83 469,
16,Michoacán,PyME´s, 3 465,  175,  775, 2 866,
17,Morelos,Total, 95 204, 15 098, 21 972, 88 331,
17,Morelos,Micro, 93 138, 15 054, 21 452, 86 740,
17,Morelos,PyME´s, 2 066,  45,  520, 1 590,
17,Morelos,Manufacturas, 9 621, 1 301, 1 678, 9 245,
17,Morelos,Micro, 9 425, 1 301, 1 669, 9 057,
17,Morelos,PyME´s,  196,  0,  9,  188,
17,Morelos,Comercio, 46 530, 7 589, 9 525, 44 595,
17,Morelos,Micro, 45 921, 7 569, 9 422, 44 068,
17,Morelos,PyME´s,  609,  21,  103,  527,
17,Morelos,Servicios Privados no Financieros, 39 053, 6 207, 10 769, 34 491,
17,Morelos,Micro, 37 792, 6 184, 10 361, 33 615,
17,Morelos,PyME´s, 1 260,  24,  408,  876,
18,Nayarit,Total, 61 635, 7 990, 14 444, 55 181,
18,Nayarit,Micro, 59 595, 7 895, 14 001, 53 489,
18,Nayarit,PyME´s, 2 040,  95,  443, 1 693,
18,Nayarit,Manufacturas, 5 345,  497,  856, 4 986,
18,Nayarit,Micro, 5 219,  497,  835, 4 881,
18,Nayarit,PyME´s,  126,  0,  21,  105,
18,Nayarit,Comercio, 25 682, 3 426, 5 029, 24 078,
18,Nayarit,Micro, 24 970, 3 399, 4 899, 23 470,
18,Nayarit,PyME´s,  712,  26,  130,  608,
18,Nayarit,Servicios Privados no Financieros, 30 609, 4 067, 8 559, 26 117,
18,Nayarit,Micro, 29 407, 3 998, 8 267, 25 138,
18,Nayarit,PyME´s, 1 202,  69,  292,  980,
19,Nuevo León,Total, 143 794, 11 238, 36 934, 118 099,
19,Nuevo León,Micro, 132 624, 10 952, 34 606, 108 970,
19,Nuevo León,PyME´s, 11 170,  286, 2 327, 9 129,
19,Nuevo León,Manufacturas, 13 626,  805, 3 079, 11 352,
19,Nuevo León,Micro, 11 261,  751, 2 722, 9 290,
19,Nuevo León,PyME´s, 2 365,  54,  357, 2 062,
19,Nuevo León,Comercio, 64 549, 5 301, 14 233, 55 617,
19,Nuevo León,Micro, 60 247, 5 217, 13 503, 51 961,
19,Nuevo León,PyME´s, 4 302,  84,  730, 3 656,
19,Nuevo León,Servicios Privados no Financieros, 65 619, 5 133, 19 622, 51 130,
19,Nuevo León,Micro, 61 116, 4 985, 18 382, 47 719,
19,Nuevo León,PyME´s, 4 503,  148, 1 240, 3 411,
20,Oaxaca,Total, 188 118, 21 051, 25 765, 183 404,
20,Oaxaca,Micro, 186 213, 21 024, 25 526, 181 712,
20,Oaxaca,PyME´s, 1 905,  27,  239, 1 693,
20,Oaxaca,Manufacturas, 55 960, 2 508, 5 021, 53 447,
20,Oaxaca,Micro, 55 768, 2 508, 4 976, 53 301,
20,Oaxaca,PyME´s,  191,  0,  46,  146,
20,Oaxaca,Comercio, 73 354, 10 619, 10 161, 73 812,
20,Oaxaca,Micro, 72 773, 10 619, 10 057, 73 335,
20,Oaxaca,PyME´s,  580,  0,  104,  476,
20,Oaxaca,Servicios Privados no Financieros, 58 805, 7 924, 10 582, 56 146,
20,Oaxaca,Micro, 57 672, 7 896, 10 493, 55 075,
20,Oaxaca,PyME´s, 1 133,  27,  90, 1 071,
21,Puebla,Total, 349 111, 63 749, 73 436, 339 425,
21,Puebla,Micro, 342 691, 63 551, 72 333, 333 909,
21,Puebla,PyME´s, 6 419,  199, 1 102, 5 516,
21,Puebla,Manufacturas, 51 327, 7 293, 9 502, 49 118,
21,Puebla,Micro, 50 101, 7 233, 9 284, 48 050,
21,Puebla,PyME´s, 1 226,  60,  218, 1 068,
21,Puebla,Comercio, 169 974, 32 388, 30 644, 171 718,
21,Puebla,Micro, 168 001, 32 338, 30 365, 169 974,
21,Puebla,PyME´s, 1 972,  50,  279, 1 744,
21,Puebla,Servicios Privados no Financieros, 127 810, 24 068, 33 289, 118 589,
21,Puebla,Micro, 124 589, 23 980, 32 684, 115 885,
21,Puebla,PyME´s, 3 221,  88,  605, 2 703,
22,Querétaro,Total, 82 280, 10 656, 18 467, 74 468,
22,Querétaro,Micro, 78 005, 10 520, 17 483, 71 041,
22,Querétaro,PyME´s, 4 275,  137,  984, 3 427,
22,Querétaro,Manufacturas, 7 770,  712, 1 380, 7 102,
22,Querétaro,Micro, 6 934,  670, 1 284, 6 320,
22,Querétaro,PyME´s,  836,  42,  96,  782,
22,Querétaro,Comercio, 38 361, 5 464, 7 395, 36 430,
22,Querétaro,Micro, 36 956, 5 428, 7 027, 35 357,
22,Querétaro,PyME´s, 1 405,  36,  368, 1 073,
22,Querétaro,Servicios Privados no Financieros, 36 149, 4 480, 9 693, 30 936,
22,Querétaro,Micro, 34 115, 4 422, 9 173, 29 364,
22,Querétaro,PyME´s, 2 034,  58,  520, 1 572,
23,Quintana Roo,Total, 64 327, 4 935, 20 510, 48 752,
23,Quintana Roo,Micro, 60 399, 4 843, 19 008, 46 234,
23,Quintana Roo,PyME´s, 3 929,  92, 1 502, 2 518,
23,Quintana Roo,Manufacturas, 3 604,  211,  903, 2 912,
23,Quintana Roo,Micro, 3 431,  206,  882, 2 754,
23,Quintana Roo,PyME´s,  173,  6,  21,  158,
23,Quintana Roo,Comercio, 30 465, 2 668, 8 057, 25 076,
23,Quintana Roo,Micro, 29 576, 2 648, 7 760, 24 464,
23,Quintana Roo,PyME´s,  889,  20,  297,  612,
23,Quintana Roo,Servicios Privados no Financieros, 30 258, 2 055, 11 549, 20 764,
23,Quintana Roo,Micro, 27 392, 1 990, 10 366, 19 016,
